City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,fort mcmurray,56.7268,-111.381,-21.23,77,75,2.57,CA,1705923899
345,williams lake,52.1415,-122.1445,-1.24,100,100,0.0,CA,1705923818
346,bovalino superiore,38.1833,16.1667,14.37,45,79,2.07,IT,1705923899
347,shizuishan,39.2333,106.7694,-13.23,62,97,1.26,CN,1705923899
348,kodinsk,58.6881,99.1844,-20.5,100,61,1.68,RU,1705923899
349,pimenta bueno,-11.6725,-61.1936,25.48,89,17,1.6,BR,1705923900
350,rocha,-34.4833,-54.3333,21.9,53,3,3.36,UY,1705923900
351,saint-philippe,-21.3585,55.7679,29.77,71,95,3.58,RE,1705923900
352,hilo,19.7297,-155.09,22.36,82,75,2.68,US,1705923733
353,pinoso,38.4016,-1.042,14.05,63,21,2.68,ES,1705923900
354,saudarkrokur,65.7461,-19.6394,-8.82,88,100,1.95,IS,1705923901
355,ulladulla,-35.35,150.4667,18.76,98,93,0.95,AU,1705923901
356,bayanhongor,46.7167,100.1167,-27.7,83,1,2.23,MN,1705923901
357,saldanha,-33.0117,17.9442,31.03,83,76,13.28,ZA,1705923902
